sp;lon;lat
Annona.paludosa;-50.67;-15.2519
Annona.paludosa;-43.5431;-4.9031
Annona.paludosa;-44.6044;-6.0189
Annona.paludosa;-45.4931;-6.11
Annona.paludosa;-50.4564;-10.3653
Annona.paludosa;-50.6792;-11.1703
Annona.paludosa;-50.6786;-11.6708
Annona.paludosa;-50.8119;-12.1181
Annona.paludosa;-50.7331;-12.3281
Annona.paludosa;-50.8153;-12.865
Annona.paludosa;-49.2153;-8.1447
Annona.paludosa;-49.6086;-8.8722
Annona.paludosa;-49.9572;-9.2372
Annona.paludosa;-49.985;-9.5883
Annona.paludosa;-50.2808;-10.0031
Annona.paludosa;-49.7989;-10.8083
Annona.paludosa;-47.8678;-6.0281
Annona.paludosa;-48.9922;-8.1453
Annona.paludosa;-49.3772;-9.1989
Annona.paludosa;-49.5436;-9.9603
Annona.paludosa;-49.7286;-12.8961
Annona.paludosa;-47.4189;-6.4111
Annona.paludosa;-47.6267;-7.62
Annona.paludosa;-48.1808;-8.9511
Annona.paludosa;-47.6108;-6.5331
Annona.paludosa;-47.8967;-7.5103
Annona.paludosa;-48.36;-8.1336
Annona.paludosa;-48.3892;-8.6831
Annona.paludosa;-48.575;-10.2717
Annona.paludosa;-44.05;-5.8
Annona.paludosa;-44.05;-5.8
Annona.paludosa;-48.571944;-6.398783
Annona.paludosa;-48.6138889;-1.6055556
Annona.paludosa;-48.613836;-1.52225
Annona.paludosa;-46.863111;-1.202361
Annona.paludosa;-46.86311111;-1.20236111
Annona.paludosa;-45.37;-5.88
Annona.paludosa;-45.3666667;-5.8833333
Annona.paludosa;-48.4463889;-1.4336111
Annona.paludosa;-48.466711;-1.445414
Annona.paludosa;-48.44638889;-1.45027778
Annona.paludosa;-47.561389;-0.606389
Annona.paludosa;-44.643747;-6.812803
Annona.paludosa;-48.617;-1.518908
Annona.paludosa;-46.876444;-0.961833
Annona.paludosa;-65.583333;-1.833333
Astrocaryum.vulgare;-47.016667;-5.033333
Astrocaryum.vulgare;-49.028611;-13.762778
Astrocaryum.vulgare;-50.933333;1.966667
Astrocaryum.vulgare;-42.06175;-6.980283
Astrocaryum.vulgare;-44.276111;-2.599917
Astrocaryum.vulgare;-46.61927778;-0.83958333
Astrocaryum.vulgare;-46.61877778;-0.83838889
Astrocaryum.vulgare;-46.61877778;-0.83838889
Astrocaryum.vulgare;-46.61944444;-0.83444444
Astrocaryum.vulgare;-46.66833333;-0.92611111
Astrocaryum.vulgare;-46.66991667;-0.92758333
Astrocaryum.vulgare;-46.66833333;-0.92611111
Astrocaryum.vulgare;-46.67;-0.92361111
Astrocaryum.vulgare;-41.827972;-2.833167
Astrocaryum.vulgare;-46.083333;-3.6666666
Astrocaryum.vulgare;-46.083333;-3.666667
Astrocaryum.vulgare;-46.083333;-3.666667
Astrocaryum.vulgare;-46.083333;-3.666667
Astrocaryum.vulgare;-46.083333;-3.666667
Astrocaryum.vulgare;-48.507464;-0.667394
Astrocaryum.vulgare;-48.5075;-0.6675
Astrocaryum.vulgare;-44.1516;-2.646625
Astrocaryum.vulgare;-54.9647;-2.5175
Astrocaryum.vulgare;-45.25;-7.533333
Astrocaryum.vulgare;-45.25;-7.533333
Astrocaryum.vulgare;-51.5356;4.4319
Astrocaryum.vulgare;-50.3653;2.0381
Astrocaryum.vulgare;-50.7964;1.9528
Astrocaryum.vulgare;-51.0847;0.6908
Astrocaryum.vulgare;-50.7447;0.4736
Astrocaryum.vulgare;-50.9264;2.4322
Astrocaryum.vulgare;-50.8994;1.4828
Astrocaryum.vulgare;-51.2797;0.6236
Astrocaryum.vulgare;-50.7467;0.5867
Astrocaryum.vulgare;-51.0122;0.1586
Astrocaryum.vulgare;-51.2817;3.2072
Astrocaryum.vulgare;-44.1536;-2.4497
Astrocaryum.vulgare;-46.0803;-1.1931
Astrocaryum.vulgare;-45.3586;-1.3597
Astrocaryum.vulgare;-44.7081;-1.8014
Astrocaryum.vulgare;-44.3997;-2.4106
Astrocaryum.vulgare;-44.0619;-2.7817
Astrocaryum.vulgare;-44.2536;-2.5744
Astrocaryum.vulgare;-45.1206;-2.6531
Astrocaryum.vulgare;-45.7044;-3.2572
